GEOID2010,NMTC
01001020100,No
01001020200,Yes
01001020300,No
01001020400,No
01001020500,No
01001020600,No
01001020700,Yes
01001020801,No
01001020802,No
01001020900,No
01001021000,No
01001021100,Yes
01003010100,No
01003010200,Yes
01003010300,No
01003010400,No
01003010500,Yes
01003010600,Yes
01003010701,No
01003010703,No
01003010704,No
01003010705,No
01003010800,No
01003010903,No
01003010904,No
01003010905,No
01003010906,No
01003011000,Yes
01003011101,No
01003011102,No
01003011201,No
01003011202,No
01003011300,No
01003011401,No
01003011403,No
01003011405,No
01003011406,Yes
01003011407,Yes
01003011408,No
01003011501,No
01003011502,Yes
01003011601,Yes
01003011602,No
01003990000,No
01005950100,Yes
01005950200,Yes
01005950300,Yes
01005950400,No
01005950500,Yes
01005950600,Yes
01005950700,Yes
01005950800,No
01005950900,Yes
01007010001,Yes
01007010002,Yes
01007010003,No
01007010004,Yes
01009050101,No
01009050102,No
01009050200,No
01009050300,Yes
01009050400,Yes
01009050500,Yes
01009050601,No
01009050602,No
01009050700,No
01011952100,Yes
01011952200,Yes
01011952500,Yes
01013952700,Yes
01013952800,No
01013952900,Yes
01013953000,Yes
01013953100,Yes
01013953200,Yes
01013953300,No
01013953400,Yes
01013953500,Yes
01015000200,Yes
01015000300,Yes
01015000400,Yes
01015000500,Yes
01015000600,Yes
01015000700,Yes
01015000800,Yes
01015000900,Yes
01015001000,No
01015001100,No
01015001201,Yes
01015001202,No
01015001300,Yes
01015001400,Yes
01015001500,No
01015001600,Yes
01015001700,No
01015001800,No
01015002000,No
01015002101,Yes
01015002102,No
01015002103,Yes
01015002200,Yes
01015002300,Yes
01015002400,No
01015002501,No
01015002502,No
01015002600,No
01015981901,No
01015981902,No
01015981903,No
01017953800,Yes
01017953900,Yes
01017954000,Yes
01017954200,No
01017954300,Yes
01017954400,Yes
01017954500,Yes
01017954600,No
01017954700,No
01019955701,Yes
01019955702,Yes
01019955800,No
01019955900,Yes
01019956000,No
01019956100,No
01021060101,Yes
01021060102,Yes
01021060200,No
01021060300,No
01021060401,No
01021060402,Yes
01021060500,No
01021060600,Yes
01021060700,No
01023956700,Yes
01023956800,Yes
01023956900,No
01023957000,Yes
01025957500,Yes
01025957601,Yes
01025957602,No
01025957700,Yes
01025957800,Yes
01025957901,Yes
01025957902,Yes
01025958001,Yes
01025958002,Yes
01027958900,No
01027959000,Yes
01027959100,Yes
01027959200,Yes
01029959500,Yes
01029959600,Yes
01029959700,Yes
01029959800,No
01031010100,Yes
01031010200,No
01031010300,No
01031010400,Yes
01031010500,Yes
01031010600,Yes
01031010700,No
01031010800,No
01031010900,Yes
01031011000,No
01031011100,No
01031011201,No
01031011202,No
01031011300,Yes
01033020100,Yes
01033020200,Yes
01033020300,Yes
01033020400,No
01033020500,No
01033020600,No
01033020701,No
01033020703,No
01033020704,No
01033020801,Yes
01033020802,Yes
01033020901,No
01033020902,No
01033021000,Yes
01035960200,Yes
01035960300,Yes
01035960400,Yes
01035960500,Yes
01035960600,Yes
01037961000,Yes
01037961100,No
01037961200,No
01039961600,No
01039961700,Yes
01039961800,Yes
01039961900,No
01039962000,Yes
01039962100,Yes
01039962300,No
01039962400,No
01039962500,No
01039962600,Yes
01039962700,Yes
01039962800,Yes
01039962900,No
01039963000,Yes
01041963400,No
01041963500,No
01041963600,No
01041963700,Yes
01041963800,No
01041963900,Yes
01043964100,No
01043964200,No
01043964300,No
01043964400,No
01043964500,No
01043964600,No
01043964700,No
01043964800,Yes
01043964900,No
01043965000,Yes
01043965100,No
01043965200,No
01043965300,Yes
01043965401,Yes
01043965402,Yes
01043965500,No
01043965600,No
01043965700,Yes
01045020000,No
01045020100,No
01045020200,No
01045020300,No
01045020400,No
01045020500,Yes
01045020700,Yes
01045020801,No
01045020802,Yes
01045021101,No
01045021102,Yes
01045021200,No
01045021300,No
01045021400,Yes
01047956100,Yes
01047956201,Yes
01047956202,No
01047956300,Yes
